deltat,AcX,AcY,AcZ,GyX,GyY,GyZ,
20,-10324,-7140,12204,-4048,-867,1277,
21,-9424,-7300,12700,-4016,-217,1848,
20,-9144,-7304,13080,-4032,708,496,
24,-9256,-7080,12428,-4096,196,-196,
20,-9620,-6952,12912,-4032,-275,-557,
22,-9564,-6752,12416,-4032,-7,-555,
20,-9208,-6628,12504,-4064,-375,-557,
21,-9048,-6340,12084,-4032,-455,121,
20,-8876,-6416,12628,-4032,-333,-1031,
21,-9688,-6020,11952,-4064,-2193,-183,
20,-9764,-5948,11348,-4048,-527,-17,
22,-9584,-6040,12468,-4016,369,712,
20,-9060,-6316,11840,-4048,414,628,
20,-8612,-6568,13144,-4080,174,228,
21,-9780,-6432,12236,-4048,-1583,-387,
20,-10076,-6552,11684,-4016,-401,609,
23,-8976,-7012,12872,-4048,23,455,
24,-10084,-6904,12596,-4032,-1304,-109,
20,-10208,-7060,12024,-4048,160,1102,
20,-10268,-7204,12968,-4064,803,165,
21,-10624,-7056,11976,-4080,-354,987,
20,-9676,-7356,12972,-4064,998,449,
21,-9672,-7420,13144,-4048,-179,-554,
20,-10092,-7448,12780,-4032,-1305,-438,
21,-10180,-7360,12740,-4048,-278,-1192,
20,-9820,-7388,12360,-4064,425,-971,
21,-9944,-7216,12108,-4080,46,-1766,
20,-9088,-7156,12164,-4032,437,-1497,
23,-7588,-7372,13624,-4048,-1359,-1857,
20,-8596,-6860,11664,-4032,-1696,-2686,
24,-7940,-6468,12380,-4032,-794,-1159,
20,-7876,-6132,12564,-4064,-1465,-2202,
21,-8644,-5532,11236,-4048,-1209,-966,
20,-7772,-5580,12388,-4064,-413,189,
21,-7432,-5512,12620,-4048,-1909,-303,
20,-8652,-5224,11464,-4048,41,-1477,
21,-7580,-5452,12180,-4016,1530,-130,
20,-7316,-5952,12216,-4048,-308,-399,
21,-8892,-5992,10976,-4064,143,-450,
20,-8680,-6520,11796,-4032,1289,2068,
21,-7376,-7360,12760,-4064,362,898,
20,-9192,-7392,12556,-4048,-835,-133,
21,-9104,-8076,11844,-4064,763,2685,
23,-8720,-8380,12680,-4080,41,1478,
21,-8808,-8548,13216,-4048,65,980,
20,-10112,-8436,12712,-4048,518,-636,
22,-9656,-8312,13156,-4048,796,-176,
20,-9408,-8288,13340,-4048,-389,-938,
21,-10072,-7952,12464,-4048,-408,-1607,
20,-9756,-7584,12540,-4064,-720,359,
21,-9728,-7136,12636,-4064,-666,-936,
20,-8832,-6892,13296,-4032,-117,-822,
22,-9452,-6340,12464,-4064,588,-2309,
20,-9508,-6128,11996,-4032,1340,-1941,
21,-9888,-5800,11460,-4048,147,-799,
20,-9064,-6068,11816,-4016,97,441,
24,-8636,-6136,12164,-4048,1248,347,
20,-8112,-6520,12852,-4016,2755,-1039,
23,-8716,-6600,12100,-4032,2612,-1151,
20,-9096,-6992,11912,-4016,980,38,
21,-8800,-7144,12512,-4048,547,1648,
20,-8500,-7516,13036,-4048,-605,1693,
20,-8856,-7244,13304,-4048,287,1190,
22,-8108,-7168,13664,-4048,942,1590,
20,-6932,-7312,14124,-4048,542,-29,
21,-9012,-6700,13132,-4064,-1081,-926,
20,-10180,-6180,12676,-4064,-1600,1627,
21,-7940,-6228,14080,-4064,753,1381,
20,-6608,-6476,14692,-4064,358,-961,
22,-9720,-5812,13108,-4032,84,-3438,
23,-8512,-5904,13476,-4064,611,231,
21,-7672,-6144,13896,-4016,-1764,-1625,
20,-8476,-6168,12776,-4048,-574,-1706,
21,-8252,-6416,13364,-4032,1647,-2360,
20,-8240,-6788,12784,-4000,137,-3045,
22,-8180,-7008,12116,-4032,-42,-1315,
20,-7676,-7316,12564,-4032,-32,-986,
21,-7744,-7452,12764,-4032,-517,-1317,
20,-7516,-7724,12176,-4064,691,-254,
21,-6784,-7848,12488,-4064,902,-469,
20,-7412,-7536,12556,-4032,-910,313,
21,-7216,-7304,12020,-4032,-40,1762,
20,-6016,-7112,13416,-4000,-505,2611,
25,-7168,-6676,13608,-4032,-1994,1164,
20,-7816,-6220,12404,-4016,-458,3108,
21,-7040,-6088,13528,-4048,-242,2338,
20,-5440,-6228,14464,-4016,-435,2650,
21,-6096,-6244,14796,-4048,-2955,410,
22,-6868,-6144,13164,-4032,-1615,773,
21,-5980,-6508,14300,-4048,77,496,
20,-8976,-6240,13344,-4048,-3678,-456,
21,-9476,-6432,12028,-4048,-3008,3293,
20,-10716,-6832,13280,-4016,-3389,1804,
22,-11952,-7652,11536,-4048,309,382,
20,-12708,-8480,11752,-4048,1195,2985,
21,-11736,-9632,12844,-4080,2464,292,
23,-12792,-10248,13064,-4032,1378,1121,
21,-12152,-10564,12444,-4032,2087,-779,
20,-11328,-11024,13776,-4032,2270,-2087,
22,-11936,-10288,13072,-4048,1452,-5040,
20,-11936,-9444,12172,-4048,1535,-6084,
21,-9896,-8596,12496,-4032,319,-5084,
20,-9020,-7356,11868,-4016,-589,-7357,
21,-10688,-5412,10144,-4048,-1032,-5644,
21,-7568,-4732,10948,-4016,712,-3542,
21,-6472,-4024,11176,-4016,-1920,-3864,
20,-6940,-3328,9888,-4064,-1652,-2199,
20,-5316,-3188,10876,-4032,-215,2622,
21,-2272,-3524,12884,-4032,-1654,2471,
20,-2456,-3092,11728,-4048,-54,1728,
21,-3912,-3212,12136,-4048,-519,2960,
20,-5000,-3456,11952,-4032,846,4540,
21,-6240,-4088,12576,-4064,-294,7112,
20,-6968,-4784,12988,-4048,520,8273,
21,-9072,-5836,13840,-4048,-1039,9547,
21,-10072,-6384,14300,-4048,2275,8347,
21,-9032,-7688,16540,-4032,3523,5182,
20,-10192,-9104,16284,-4032,1388,1249,
22,-12768,-8796,15244,-4016,-1847,401,
21,-12324,-9512,15884,-4032,451,-443,
21,-11300,-9868,16608,-4016,1635,-5768,
20,-12340,-9552,14548,-4032,494,-8202,
24,-10004,-9584,14460,-4048,2095,-10665,
20,-11104,-8624,13008,-4032,-709,-12651,
21,-10704,-7584,10164,-4016,-293,-10392,
21,-8168,-6964,11096,-4032,301,-8988,
21,-6420,-6368,10996,-4032,-977,-9167,
20,-7840,-4956,8248,-4048,478,-7425,
31,-4860,-5004,9960,-4032,2928,-2743,
20,-5888,-4568,9352,-4016,-1817,823,
21,-5720,-4224,9628,-4000,-224,5507,
20,-5440,-4508,11496,-4064,172,6194,
21,-6052,-4820,12192,-4016,109,6997,
20,-6888,-5288,11572,-4000,1649,8459,
21,-7144,-6120,14460,-4032,-1920,11121,
20,-8036,-6224,14496,-4016,-212,9387,
21,-7968,-7048,15856,-4032,2692,8325,
20,-8596,-7548,16848,-4048,570,4979,
21,-10800,-7544,15328,-4032,-861,3576,
21,-9004,-8100,17084,-4048,1164,3929,
21,-7464,-8556,17492,-4032,1084,-2162,
20,-9612,-8196,15844,-4032,-766,-4292,
21,-9880,-8120,15248,-4064,165,-5031,
20,-8748,-7876,14780,-4000,223,-5358,
21,-6900,-7716,14224,-4048,-187,-6075,
20,-7084,-7368,13812,-4032,487,-7934,
21,-7300,-6652,12736,-4032,-2471,-5052,
23,-7212,-6164,11088,-4064,-2590,-2749,
23,-6068,-5580,12444,-4048,-2790,-918,
20,-6524,-5452,11776,-4032,-4304,522,
21,-7640,-5496,10776,-4032,-4627,2410,
21,-7772,-5484,12800,-4080,-4035,5899,
21,-8524,-5580,12992,-4000,-4157,5474,
20,-9580,-5816,13040,-4000,-666,5200,
21,-7936,-6808,14588,-4032,1674,3781,
21,-8664,-7580,14268,-4048,1039,2189,
21,-9424,-8280,13324,-4032,1205,2609,
20,-9804,-8700,13648,-4032,409,3797,
21,-7608,-9404,15644,-4000,-2866,3800,
20,-8264,-9104,15384,-4016,-1971,684,
25,-8416,-8996,15320,-4032,-378,-1721,
20,-10212,-9044,14160,-4000,128,-4194,
21,-11264,-8400,11708,-4032,423,-2608,
20,-6500,-8880,14840,-4000,1610,-2532,
21,-3972,-8644,16292,-4032,26,-8519,
20,-6192,-7552,13588,-4080,-1344,-10586,
22,-7888,-6500,13204,-4048,3141,-10835,
20,-7100,-6300,11540,-4032,3716,-8132,
20,-4528,-6052,10220,-4032,6130,-6896,
21,-1604,-6052,13064,-4000,3857,-4686,
20,-1164,-5768,12244,-4048,-56,-6145,
22,-4320,-4768,10416,-4032,2681,-6857,
20,-2412,-5120,10600,-4016,6287,-2008,
24,396,-5712,11868,-4016,120,856,
20,-2192,-4456,11124,-4048,-7574,3466,
21,-812,-4476,12544,-4016,88,5941,
20,-2380,-3720,13600,-4016,-1082,1733,
21,-7792,-2536,10212,-4016,-5154,5421,
22,-7680,-3376,10588,-4016,-3750,14394,
21,-4732,-4372,15532,-4016,-656,11962,
20,-6168,-4928,15616,-4048,-117,8817,
21,-9116,-5992,14676,-4048,-2284,9463,
21,-14016,-6248,13460,-4016,-5105,10573,
21,-14248,-6860,15268,-4048,-2337,11505,
20,-11652,-8352,18128,-4064,2690,3625,
21,-14472,-9388,16048,-4032,2591,-2954,
